customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,R_Score,F_Score,M_Score,RFMClass_text,Segment,Segment_Sort
Aja Veum,3,31,187,2,1,1,211,3,5,5,355,Big Spenders,3
Akeem Champlin,1,48,78,3,4,2,342,2,1,4,214,Regular,5
Akeem Lubowitz,1,29,46,2,4,3,243,3,1,2,312,Regular,5
Akira Trantow DDS,2,52,62,3,2,3,323,2,4,3,243,Big Spenders,3
Al Lockman,1,63,71,4,4,2,442,2,1,3,213,Regular,5
Al Nader II,1,57,55,3,4,3,343,2,1,2,212,At Risk,6
Al Williamson,5,35,288,2,1,1,211,3,5,5,355,Big Spenders,3
Ala Halvorson,1,47,68,3,4,2,342,2,1,3,213,Regular,5
Ala Schmidt DDS,3,3,138,1,1,1,111,5,5,5,555,VIP,1
Alabama Abbott,1,32,23,2,4,4,244,3,1,1,311,Regular,5
Alabama Kessler PhD,1,72,43,4,4,4,444,1,1,2,112,At Risk,6
Alan Block,6,6,305,1,1,1,111,5,5,5,555,VIP,1
Alan Considine,1,18,68,2,4,2,242,4,1,3,413,Regular,5
Alana Auer,1,6,31,1,4,4,144,5,1,1,511,New/Higher Recency,4
Alana Champlin,2,6,122,1,2,1,121,5,4,4,544,VIP,1
Alani Beier,1,40,77,3,4,2,342,3,1,4,314,Regular,5
Alani Lindgren,4,7,251,1,1,1,111,5,5,5,555,VIP,1
Alani Powlowski,2,33,110,2,2,1,221,3,4,4,344,Big Spenders,3
Alanna Kuhlman MD,2,19,78,2,2,2,222,4,4,4,444,VIP,1
Alannah Borer,6,7,302,1,1,1,111,5,5,5,555,VIP,1
Alannah Howe,1,46,51,3,4,3,343,2,1,2,212,At Risk,6
Alannah Murray DDS,2,31,64,2,2,3,223,3,4,3,343,Big Spenders,3
Alannah Steuber,1,47,59,3,4,3,343,2,1,3,213,Regular,5
Alayna Collins,2,3,133,1,2,1,121,5,4,5,545,VIP,1
Alayna Kutch,1,6,41,1,4,4,144,5,1,2,512,New/Higher Recency,4
Alayna Rohan,5,3,156,1,1,1,111,5,5,5,555,VIP,1
Albert Franecki,1,54,24,3,4,4,344,2,1,1,211,At Risk,6
Albert Kozey,1,23,36,2,4,4,244,4,1,1,411,Regular,5
Albert Ondricka,2,47,111,3,2,1,321,2,4,4,244,Big Spenders,3
Albertha Aufderhar,1,52,49,3,4,3,343,2,1,2,212,At Risk,6
Albertina Cole,1,17,43,2,4,4,244,4,1,2,412,Regular,5
Albertina Lubowitz,3,43,124,3,1,1,311,3,5,5,355,Big Spenders,3
Albertina Ruecker MD,2,15,90,2,2,2,222,4,4,4,444,VIP,1
Albertine Armstrong,1,14,27,2,4,4,244,4,1,1,411,Regular,5
Albertine Nienow,3,39,98,3,1,2,312,3,5,4,354,Big Spenders,3
Albertine Rogahn PhD,1,88,53,4,4,3,443,1,1,2,112,At Risk,6
Alberto Mayert,1,60,48,4,4,3,443,2,1,2,212,At Risk,6
Albertus Fisher,1,39,59,3,4,3,343,3,1,3,313,Regular,5
Albertus Hagenes,3,19,113,2,1,1,211,4,5,4,454,VIP,1
Albertus Hintz,1,83,42,4,4,4,444,1,1,2,112,At Risk,6
Albin Feil,6,8,313,1,1,1,111,5,5,5,555,VIP,1
Albin Marks,2,67,122,4,2,1,421,2,4,4,244,Big Spenders,3
Albina Batz,1,47,41,3,4,4,344,2,1,2,212,At Risk,6
Albina Klocko,2,40,109,3,2,1,321,3,4,4,344,Big Spenders,3
Albion Balistreri,2,72,113,4,2,1,421,1,4,4,144,Big Spenders,3
Albion Bashirian MD,1,85,52,4,4,3,443,1,1,2,112,At Risk,6
Albion Grady Jr.,1,44,52,3,4,3,343,3,1,2,312,Regular,5
Alcee Kessler,1,39,43,3,4,4,344,3,1,2,312,Regular,5
Alcee Reichert,1,65,79,4,4,2,442,2,1,4,214,Regular,5
Alcee Weissnat,3,6,117,1,1,1,111,5,5,4,554,VIP,1
Alcide Daniel,2,12,73,1,2,2,122,4,4,3,443,Loyal,2
Alcide Kuhic,2,11,73,1,2,2,122,4,4,3,443,Loyal,2
Alcide Rohan,1,84,59,4,4,3,443,1,1,3,113,Regular,5
Alcie Farrell DDS,1,74,72,4,4,2,442,1,1,3,113,Regular,5
Alcie Murray,1,33,62,2,4,3,243,3,1,3,313,Regular,5
Alcie Will,2,31,47,2,2,3,223,3,4,2,342,Regular,5
Alden Homenick,2,3,103,1,2,2,122,5,4,4,544,VIP,1
Aldona Weissnat,1,21,66,2,4,3,243,4,1,3,413,Regular,5
Alease Ondricka,1,46,33,3,4,4,344,2,1,1,211,At Risk,6
Alec O'Keefe II,2,42,126,3,2,1,321,3,4,5,345,Big Spenders,3
Aleck Jacobs,2,4,103,1,2,2,122,5,4,4,544,VIP,1
Aleck Klein,2,21,108,2,2,1,221,4,4,4,444,VIP,1
Aleck Towne,2,10,114,1,2,1,121,5,4,4,544,VIP,1
Aleen Flatley,1,81,51,4,4,3,443,1,1,2,112,At Risk,6
Aleena Berge,1,68,62,4,4,3,443,1,1,3,113,Regular,5
Aleena Ruecker,1,46,27,3,4,4,344,2,1,1,211,At Risk,6
Alejandra Batz,1,41,64,3,4,3,343,3,1,3,313,Regular,5
Alejandro Rempel V,2,43,152,3,2,1,321,3,4,5,345,Big Spenders,3
Alek McGlynn,1,36,40,2,4,4,244,3,1,2,312,Regular,5
Alena Brakus,2,9,105,1,2,2,122,5,4,4,544,VIP,1
Alene Quitzon,1,44,37,3,4,4,344,3,1,1,311,Regular,5
Alesia Gislason,1,46,72,3,4,2,342,2,1,3,213,Regular,5
Alessandra Heaney,1,48,56,3,4,3,343,2,1,2,212,At Risk,6
Alessandro Mosciski,2,21,93,2,2,2,222,4,4,4,444,VIP,1
Alessandro Wyman,2,83,51,4,2,3,423,1,4,2,142,Regular,5
Aleta Weissnat,1,81,60,4,4,3,443,1,1,3,113,Regular,5
Aletha Weimann,3,4,158,1,1,1,111,5,5,5,555,VIP,1
Alethea Blanda,2,7,101,1,2,2,122,5,4,4,544,VIP,1
Alex Armstrong,2,46,58,3,2,3,323,2,4,2,242,Regular,5
Alex Bartell,1,68,61,4,4,3,443,1,1,3,113,Regular,5
Alex Bergnaum,2,51,94,3,2,2,322,2,4,4,244,Big Spenders,3
Alex Lemke,1,37,42,2,4,4,244,3,1,2,312,Regular,5
Alex Steuber,6,3,300,1,1,1,111,5,5,5,555,VIP,1
Alexa Gulgowski DDS,2,33,120,2,2,1,221,3,4,4,344,Big Spenders,3
Alexa Strosin,1,48,32,3,4,4,344,2,1,1,211,At Risk,6
Alexander Toy,1,46,80,3,4,2,342,2,1,4,214,Regular,5
Alexander Welch IV,1,6,59,1,4,3,143,5,1,3,513,New/Higher Recency,4
Alexandr Brakus,1,89,50,4,4,3,443,1,1,2,112,At Risk,6
Alexandr Kuhlman,2,33,96,2,2,2,222,3,4,4,344,Big Spenders,3
Alexandr Stanton,5,5,223,1,1,1,111,5,5,5,555,VIP,1
Alexandr VonRueden,3,72,117,4,1,1,411,1,5,4,154,Big Spenders,3
Alexandr Walter,1,25,76,2,4,2,242,4,1,4,414,Regular,5
Alexandra Denesik,4,5,167,1,1,1,111,5,5,5,555,VIP,1
Alexandra Steuber,2,46,107,3,2,1,321,2,4,4,244,Big Spenders,3
Alexandre Romaguera,2,53,103,3,2,2,322,2,4,4,244,Big Spenders,3
Alexandro Bogan MD,1,47,39,3,4,4,344,2,1,1,211,At Risk,6
Alexandro Ernser,1,34,38,2,4,4,244,3,1,1,311,Regular,5
Alexandro Keeling,5,14,247,2,1,1,211,4,5,5,455,VIP,1
Alexia Wilderman PhD,2,66,112,4,2,1,421,2,4,4,244,Big Spenders,3
Alexis Cormier,3,47,152,3,1,1,311,2,5,5,255,Big Spenders,3
Alexis Kessler V,1,72,45,4,4,3,443,1,1,2,112,At Risk,6
Alexus McLaughlin,2,5,57,1,2,3,123,5,4,2,542,Loyal,2
Alexys Okuneva,1,68,43,4,4,4,444,1,1,2,112,At Risk,6
Alexys Zulauf,1,56,32,3,4,4,344,2,1,1,211,At Risk,6
Alexzander Hettinger,2,12,132,1,2,1,121,4,4,5,445,VIP,1
Alexzander Schulist,2,27,151,2,2,1,221,3,4,5,345,Big Spenders,3
Alf Lueilwitz,1,85,62,4,4,3,443,1,1,3,113,Regular,5
Alferd Crona,6,50,292,3,1,1,311,2,5,5,255,Big Spenders,3
Alferd Hoppe,1,46,26,3,4,4,344,2,1,1,211,At Risk,6
Alferd Ziemann,1,25,73,2,4,2,242,4,1,3,413,Regular,5
Alfie Sporer,2,47,133,3,2,1,321,2,4,5,245,Big Spenders,3
Alfonse Corwin PhD,1,54,43,3,4,4,344,2,1,2,212,At Risk,6
Alfonso Lynch,1,17,41,2,4,4,244,4,1,2,412,Regular,5
Alfonso Rippin,1,40,42,3,4,4,344,3,1,2,312,Regular,5
Alfonzo Jast I,2,12,126,1,2,1,121,4,4,5,445,VIP,1
Alfonzo Wiza,1,19,38,2,4,4,244,4,1,1,411,Regular,5
Alford Gibson,1,47,48,3,4,3,343,2,1,2,212,At Risk,6
Alfred Mayer,1,73,43,4,4,4,444,1,1,2,112,At Risk,6
Alfred Metz,5,20,247,2,1,1,211,4,5,5,455,VIP,1
Alfred Stanton,1,81,49,4,4,3,443,1,1,2,112,At Risk,6
Alfreda Champlin,1,45,46,3,4,3,343,3,1,2,312,Regular,5
Alfreda Kreiger,1,1,37,1,4,4,144,5,1,1,511,New/Higher Recency,4
Alger Bechtelar,1,11,62,1,4,3,143,4,1,3,413,Regular,5
Alger Corkery,3,38,129,2,1,1,211,3,5,5,355,Big Spenders,3
Alger Hartmann,2,53,57,3,2,3,323,2,4,2,242,Regular,5
Alger Hayes,4,11,213,1,1,1,111,4,5,5,455,VIP,1
Alger Hirthe III,10,4,576,1,1,1,111,5,5,5,555,VIP,1
Algernon Corwin,1,80,71,4,4,2,442,1,1,3,113,Regular,5
Algernon Satterfield,1,47,30,3,4,4,344,2,1,1,211,At Risk,6
Algernon Stroman IV,1,12,21,1,4,4,144,4,1,1,411,Regular,5
Algot Feil,2,20,119,2,2,1,221,4,4,4,444,VIP,1
Algot Weimann,1,48,28,3,4,4,344,2,1,1,211,At Risk,6
Ali Prohaska,1,52,37,3,4,4,344,2,1,1,211,At Risk,6
Alia Schiller,1,5,39,1,4,4,144,5,1,1,511,New/Higher Recency,4
Alia Sipes,1,31,43,2,4,4,244,3,1,2,312,Regular,5
Alia Strosin,2,12,125,1,2,1,121,4,4,5,445,VIP,1
Alice Nikolaus,1,0,37,1,4,4,144,5,1,1,511,New/Higher Recency,4
Alice Reichel,1,47,65,3,4,3,343,2,1,3,213,Regular,5
Alida Brekke,2,1,104,1,2,2,122,5,4,4,544,VIP,1
Alida Cole PhD,1,19,54,2,4,3,243,4,1,2,412,Regular,5
Alida Lockman,1,46,50,3,4,3,343,2,1,2,212,At Risk,6
Alida Weissnat,1,29,75,2,4,2,242,3,1,3,313,Regular,5
Alida Zemlak,2,41,96,3,2,2,322,3,4,4,344,Big Spenders,3
Alijah Lesch,1,46,79,3,4,2,342,2,1,4,214,Regular,5
Alina Keeling,1,83,24,4,4,4,444,1,1,1,111,At Risk,6
Aline Skiles,4,3,256,1,1,1,111,5,5,5,555,VIP,1
Alisa Gislason DVM,1,80,58,4,4,3,443,1,1,2,112,At Risk,6
Alisa Schimmel PhD,2,8,127,1,2,1,121,5,4,5,545,VIP,1
Alisha Durgan,2,42,117,3,2,1,321,3,4,4,344,Big Spenders,3
Alisha Rath,3,71,147,4,1,1,411,1,5,5,155,Big Spenders,3
Alison Braun,2,60,105,4,2,2,422,2,4,4,244,Big Spenders,3
Alison Hansen,1,47,67,3,4,3,343,2,1,3,213,Regular,5
Alison McKenzie,1,25,74,2,4,2,242,4,1,3,413,Regular,5
Alison Yundt,2,65,120,4,2,1,421,2,4,4,244,Big Spenders,3
Alissa Nicolas,1,65,48,4,4,3,443,2,1,2,212,At Risk,6
Alissa Wisoky,1,4,64,1,4,3,143,5,1,3,513,New/Higher Recency,4
Alisson Dach MD,1,40,48,3,4,3,343,3,1,2,312,Regular,5
Alisson Hermann DDS,1,46,57,3,4,3,343,2,1,2,212,At Risk,6
Alisson Mitchell,1,20,30,2,4,4,244,4,1,1,411,Regular,5
Alivia Fisher,1,16,73,2,4,2,242,4,1,3,413,Regular,5
Alivia Kuhn MD,1,90,21,4,4,4,444,1,1,1,111,At Risk,6
Alivia Vandervort,2,29,72,2,2,2,222,3,4,3,343,Big Spenders,3
Alivia Weimann DVM,4,2,186,1,1,1,111,5,5,5,555,VIP,1
Aliya Prosacco DDS,1,45,57,3,4,3,343,3,1,2,312,Regular,5
Aliya Rosenbaum,1,19,32,2,4,4,244,4,1,1,411,Regular,5
Aliza Lubowitz,3,30,131,2,1,1,211,3,5,5,355,Big Spenders,3
Aliza Sauer PhD,1,50,54,3,4,3,343,2,1,2,212,At Risk,6
Aliza Zboncak MD,1,69,48,4,4,3,443,1,1,2,112,At Risk,6
Alize Abshire,1,46,41,3,4,4,344,2,1,2,212,At Risk,6
Alize Haag,1,6,73,1,4,2,142,5,1,3,513,New/Higher Recency,4
Alla Wilderman DDS,2,12,111,1,2,1,121,4,4,4,444,VIP,1
Allean Donnelly,1,27,58,2,4,3,243,3,1,2,312,Regular,5
Allean McDermott,1,5,59,1,4,3,143,5,1,3,513,New/Higher Recency,4
Allean Torphy,1,16,22,2,4,4,244,4,1,1,411,Regular,5
Alleen Kulas,3,37,175,2,1,1,211,3,5,5,355,Big Spenders,3
Allen Fritsch,1,31,79,2,4,2,242,3,1,4,314,Regular,5
Allen Howell,2,5,91,1,2,2,122,5,4,4,544,VIP,1
Allen Zieme,2,24,103,2,2,2,222,4,4,4,444,VIP,1
Allena Davis,1,45,72,3,4,2,342,3,1,3,313,Regular,5
Allene Nitzsche,2,72,140,4,2,1,421,1,4,5,145,Big Spenders,3
Allene Torp PhD,1,46,75,3,4,2,342,2,1,3,213,Regular,5
Allie Mosciski,1,42,44,3,4,4,344,3,1,2,312,Regular,5
Allison Block,1,75,76,4,4,2,442,1,1,4,114,Regular,5
Ally Johnston,1,59,67,3,4,3,343,2,1,3,213,Regular,5
Allyn Haag,1,24,21,2,4,4,244,4,1,1,411,Regular,5
Allyn Mraz,1,80,56,4,4,3,443,1,1,2,112,At Risk,6
Allyn Rath,1,12,48,1,4,3,143,4,1,2,412,Regular,5
Allyson Barton,1,33,20,2,4,4,244,3,1,1,311,Regular,5
Allyssa Bergnaum,1,44,24,3,4,4,344,3,1,1,311,Regular,5
Almeda Yost,1,75,76,4,4,2,442,1,1,4,114,Regular,5
Almedia Lesch PhD,1,81,54,4,4,3,443,1,1,2,112,At Risk,6
Almedia Yundt,3,11,172,1,1,1,111,4,5,5,455,VIP,1
Almer Mayert,1,26,57,2,4,3,243,3,1,2,312,Regular,5
